id,Easting,Northing,Longitude,Latitude
372,708255.500,9324004.000,106.882,-6.112
373,708256.000,9324004.000,106.882,-6.112
374,708256.500,9324004.000,106.882,-6.112
375,708257.000,9324004.000,106.882,-6.112
376,708257.500,9324004.000,106.882,-6.112
377,708258.000,9324004.000,106.882,-6.112
378,708258.500,9324004.000,106.882,-6.112
379,708259.000,9324004.000,106.882,-6.112
380,708259.500,9324004.000,106.882,-6.112
408,708252.000,9324003.500,106.882,-6.112
409,708252.500,9324003.500,106.882,-6.112
410,708253.000,9324003.500,106.882,-6.112
411,708253.500,9324003.500,106.882,-6.112
412,708254.000,9324003.500,106.882,-6.112
413,708254.500,9324003.500,106.882,-6.112
414,708255.000,9324003.500,106.882,-6.112
415,708255.500,9324003.500,106.882,-6.112
416,708256.000,9324003.500,106.882,-6.112
417,708256.500,9324003.500,106.882,-6.112
418,708257.000,9324003.500,106.882,-6.112
419,708257.500,9324003.500,106.882,-6.112
420,708258.000,9324003.500,106.882,-6.112
421,708258.500,9324003.500,106.882,-6.112
422,708259.000,9324003.500,106.882,-6.112
423,708259.500,9324003.500,106.882,-6.112
424,708260.000,9324003.500,106.882,-6.112
449,708251.000,9324003.000,106.882,-6.112
450,708251.500,9324003.000,106.882,-6.112
451,708252.000,9324003.000,106.882,-6.112
452,708252.500,9324003.000,106.882,-6.112
453,708253.000,9324003.000,106.882,-6.112
454,708253.500,9324003.000,106.882,-6.112
455,708254.000,9324003.000,106.882,-6.112
456,708254.500,9324003.000,106.882,-6.112
457,708255.000,9324003.000,106.882,-6.112
458,708255.500,9324003.000,106.882,-6.112
459,708256.000,9324003.000,106.882,-6.112
460,708256.500,9324003.000,106.882,-6.112
461,708257.000,9324003.000,106.882,-6.112
462,708257.500,9324003.000,106.882,-6.112
463,708258.000,9324003.000,106.882,-6.112
464,708258.500,9324003.000,106.882,-6.112
465,708259.000,9324003.000,106.882,-6.112
466,708259.500,9324003.000,106.882,-6.112
467,708260.000,9324003.000,106.882,-6.112
491,708250.500,9324002.500,106.882,-6.112
492,708251.000,9324002.500,106.882,-6.112
493,708251.500,9324002.500,106.882,-6.112
494,708252.000,9324002.500,106.882,-6.112
495,708252.500,9324002.500,106.882,-6.112
496,708253.000,9324002.500,106.882,-6.112
497,708253.500,9324002.500,106.882,-6.112
498,708254.000,9324002.500,106.882,-6.112
499,708254.500,9324002.500,106.882,-6.112
500,708255.000,9324002.500,106.882,-6.112
501,708255.500,9324002.500,106.882,-6.112
502,708256.000,9324002.500,106.882,-6.112
503,708256.500,9324002.500,106.882,-6.112
504,708257.000,9324002.500,106.882,-6.112
505,708257.500,9324002.500,106.882,-6.112
506,708258.000,9324002.500,106.882,-6.112
507,708258.500,9324002.500,106.882,-6.112
508,708259.000,9324002.500,106.882,-6.112
509,708259.500,9324002.500,106.882,-6.112
510,708260.000,9324002.500,106.882,-6.112
